city,domain,job_role,education,experience_years,skills_count,salary
Mumbai,Web Development,Web Developer,BCA,1,2,475000
Bangalore,Data Science,Data Analyst,MCA,4,4,1380000
Chennai,Data Science,Data Scientist,B.Tech,0,3,665000
Bangalore,Data Science,Data Scientist,B.Sc,0,4,725000
Bangalore,Artificial Intelligence,ML Engineer,MCA,0,2,920000
Mumbai,Data Science,Data Scientist,MBA,10,8,3295000
Mumbai,Data Science,Data Scientist,M.Tech,1,3,1040000
Delhi,Software Development,Software Developer,M.Tech,4,5,1315000
Hyderabad,Artificial Intelligence,AI Engineer,MBA,7,7,2335000
Chennai,Web Development,Web Developer,M.Tech,4,4,1110000
Delhi,Data Science,Data Analyst,M.Tech,0,4,650000
Hyderabad,Software Development,Software Developer,BCA,4,4,1170000
Bangalore,Web Development,Web Developer,MCA,2,4,855000
Chennai,Artificial Intelligence,AI Engineer,B.Tech,7,5,2000000
Pune,Web Development,Web Developer,Diploma,1,3,395000
Chennai,Artificial Intelligence,AI Engineer,BCA,2,5,1070000
Delhi,Artificial Intelligence,AI Engineer,B.Sc,0,2,710000
Mumbai,Data Science,Data Scientist,B.Tech,1,3,890000
Pune,Artificial Intelligence,AI Engineer,B.Tech,4,5,1485000
Mumbai,Artificial Intelligence,ML Engineer,Diploma,0,4,720000
Delhi,Data Science,Data Analyst,Diploma,10,9,2730000
Chennai,Web Development,Web Developer,B.Tech,2,4,655000
Mumbai,Web Development,Web Developer,Diploma,0,4,330000
Pune,Web Development,Web Developer,Diploma,0,3,330000
Hyderabad,Software Development,Software Developer,B.Sc,0,4,535000
Mumbai,Data Science,Data Scientist,MCA,0,3,835000
Chennai,Artificial Intelligence,AI Engineer,MBA,1,3,905000
Pune,Software Development,Software Developer,Diploma,10,7,2585000
Pune,Software Development,Software Developer,BCA,1,3,565000
Delhi,Data Science,Data Scientist,Diploma,2,5,975000
Chennai,Software Development,Software Developer,MBA,10,7,2545000
Hyderabad,Artificial Intelligence,AI Engineer,B.Sc,1,4,965000
Delhi,Artificial Intelligence,AI Engineer,B.Sc,10,8,3050000
Hyderabad,Web Development,Web Developer,MBA,2,5,795000
Bangalore,Artificial Intelligence,AI Engineer,Diploma,7,6,2300000
Chennai,Data Science,Data Scientist,Diploma,1,2,610000
Delhi,Artificial Intelligence,ML Engineer,MCA,1,3,955000
Mumbai,Artificial Intelligence,AI Engineer,B.Sc,10,8,3260000
Delhi,Artificial Intelligence,AI Engineer,Diploma,4,4,1390000
Chennai,Data Science,Data Scientist,Diploma,4,5,1230000
Pune,Data Science,Data Scientist,B.Tech,2,5,1035000
Pune,Web Development,Web Developer,MBA,10,8,2640000
Mumbai,Software Development,Software Developer,M.Tech,10,7,3095000
Hyderabad,Artificial Intelligence,ML Engineer,M.Tech,4,5,1595000
Hyderabad,Data Science,Data Scientist,MCA,10,7,3105000
Hyderabad,Artificial Intelligence,ML Engineer,B.Sc,7,7,2155000
Pune,Software Development,Software Developer,MBA,4,6,1235000
Delhi,Data Science,Data Analyst,MCA,10,8,2885000
Chennai,Web Development,Web Developer,Diploma,7,6,1575000
Delhi,Web Development,Web Developer,MCA,10,7,2745000
Hyderabad,Web Development,Web Developer,B.Tech,4,6,1165000
Pune,Artificial Intelligence,ML Engineer,BCA,4,4,1370000
Hyderabad,Data Science,Data Scientist,MCA,2,4,1135000
Bangalore,Data Science,Data Analyst,BCA,2,5,890000
Delhi,Data Science,Data Scientist,M.Tech,4,5,1580000
Delhi,Software Development,Software Developer,MCA,0,2,545000
Pune,Artificial Intelligence,AI Engineer,M.Tech,2,3,1165000
Delhi,Data Science,Data Scientist,MBA,10,8,3055000
Chennai,Data Science,Data Scientist,M.Tech,1,4,910000
Hyderabad,Data Science,Data Scientist,B.Tech,1,3,925000
Delhi,Data Science,Data Scientist,MBA,4,6,1465000
Pune,Artificial Intelligence,AI Engineer,B.Tech,7,7,2140000
Chennai,Software Development,Software Developer,M.Tech,1,4,750000
Delhi,Data Science,Data Scientist,B.Sc,0,4,680000
Hyderabad,Web Development,Web Developer,B.Sc,2,4,650000
Hyderabad,Web Development,Web Developer,BCA,7,5,1845000
Pune,Software Development,Software Developer,B.Tech,0,2,520000
